U1	1	SOURCE_RESET_GOOD
U1	2	SOURCE_WATCHDOG_GOOD
U1	3	SELV_GND
U1	4	RESET_WD_OK
U1	5	SELV3V3
U2	1	RESET_WD_OK
U2	2	INTERLOCK_PERMIT
U2	3	SELV_GND
U2	4	SOURCE_HEALTH
U2	5	SELV3V3
U3	1	SOURCE_HEALTH
U3	2	SELV3V3
U3	3	SOURCE_REARM_PULSE
U3	4	SELV3V3
U3	5	PERMIT_TX
U3	6	NC
U3	7	SELV_GND
U3	8	NC
U3	9	NC
U3	10	SELV3V3
U3	11	SELV_GND
U3	12	SELV_GND
U3	13	SELV_GND
U3	14	SELV3V3
U4	1	SELV3V3
U4	2	SELV_GND
U4	3	COMMAND_TX
U4	4	PERMIT_TX
U4	5	RELAY_CMD
U4	6	SELV_RESPONSE_RX
U4	7	SELV3V3
U4	8	SELV_GND
U4	9	HOT_GND
U4	10	HOT_LOGIC5
U4	11	HOT_RESPONSE_TX
U4	12	HOT_RELAY_CMD
U4	13	HOT_PERMIT_RX
U4	14	HOT_COMMAND_RX
U4	15	HOT_GND
U4	16	HOT_LOGIC5
U5	1	CLEAR_OK_EXISTING
U5	2	HOT_WATCHDOG_GOOD
U5	3	HOT_GND
U5	4	CLEAR_OK_HW
U5	5	HOT_LOGIC5
U6	1	CLEAR_OK_HW
U6	2	ARM_AUTHORIZED
U6	3	VALIDATED_START_5V
U6	4	HOT_LOGIC5
U6	5	RUN
U6	6	NC
U6	7	HOT_GND
U6	8	NC
U6	9	ARM_AUTHORIZED
U6	10	HOT_LOGIC5
U6	11	SESSION_ARM_5V
U6	12	HOT_LOGIC5
U6	13	CLEAR_OK_HW
U6	14	HOT_LOGIC5
U7	1	RUN
U7	2	CLEAR_OK_HW
U7	3	HOT_GND
U7	4	ENABLE_GOOD
U7	5	HOT_LOGIC5
C1	1	SELV3V3
C1	2	SELV_GND
C2	1	SELV3V3
C2	2	SELV_GND
C3	1	SELV3V3
C3	2	SELV_GND
C4	1	SELV3V3
C4	2	SELV_GND
C5	1	HOT_LOGIC5
C5	2	HOT_GND
C6	1	HOT_LOGIC5
C6	2	HOT_GND
C7	1	HOT_LOGIC5
C7	2	HOT_GND
C8	1	HOT_LOGIC5
C8	2	HOT_GND
R1	1	SOURCE_RESET_GOOD
R1	2	SELV_GND
R2	1	SOURCE_WATCHDOG_GOOD
R2	2	SELV_GND
R3	1	INTERLOCK_PERMIT
R3	2	SELV_GND
R4	1	SOURCE_REARM_PULSE
R4	2	SELV_GND
R5	1	PERMIT_TX
R5	2	SELV_GND
R6	1	COMMAND_TX
R6	2	SELV_GND
R7	1	RELAY_CMD
R7	2	SELV_GND
R8	1	SELV_RESPONSE_RX
R8	2	SELV_GND
R9	1	HOT_RELAY_CMD
R9	2	HOT_GND
R10	1	HOT_PERMIT_RX
R10	2	HOT_GND
R11	1	HOT_WATCHDOG_GOOD
R11	2	HOT_GND
R12	1	SESSION_ARM_5V
R12	2	HOT_GND
R13	1	VALIDATED_START_5V
R13	2	HOT_GND
